Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,X1stFlrSF,X2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,X3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
554,20,4,67,8777,Pave,3,Reg,Lvl,1,Inside,Gtl,Edwards,Feedr,Norm,1Fam,1Story,4,5,1949,2003,Gable,CompShg,1,1,3,0,TA,TA,CBlock,5,5,5,7,0,7,0,0,0,GasA,Ex,Y,5,1126,0,0,1126,0,0,2,0,2,1,3,5,6,0,6,6,2002,1,2,520,4,4,N,0,96,0,0,0,0,4,3,5,0,5,2009,1,Normal,108000
555,60,4,85,10625,Pave,3,Reg,Lvl,1,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,7,5,2003,2004,Gable,CompShg,1,1,2,292,Gd,TA,PConc,3,4,4,3,866,6,0,132,998,GasA,Ex,Y,5,1006,1040,0,2046,1,0,2,1,3,1,3,8,6,1,3,4,2003,2,3,871,4,4,Y,320,62,0,0,0,0,4,5,5,0,8,2008,1,Normal,284000
556,45,5,58,6380,Pave,3,Reg,Lvl,1,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,5,6,1922,1950,Gable,CompShg,2,2,3,0,TA,TA,BrkTil,4,1,4,6,0,6,0,993,993,GasA,TA,Y,1,1048,0,0,1048,0,0,1,0,2,1,4,5,6,1,3,6,1922,3,1,280,4,4,Y,0,0,116,0,0,0,4,5,5,0,8,2006,1,Normal,113000
557,20,4,69,14850,Pave,3,IR1,Lvl,1,Inside,Gtl,mes,Norm,Norm,1Fam,1Story,5,5,1957,1957,Gable,CompShg,3,6,3,0,TA,TA,CBlock,4,4,4,5,895,6,0,197,1092,GasA,TA,Y,1,1092,0,0,1092,1,0,1,0,2,1,4,6,6,1,4,2,1957,1,1,299,4,4,Y,268,0,0,0,122,0,4,4,5,0,5,2006,1,Normal,141000
558,50,1,60,11040,Pave,3,Reg,Low,1,Inside,Mod,IDOTRR,Norm,Norm,1Fam,1.5Fin,4,6,1920,1950,Gable,CompShg,2,2,3,0,TA,TA,CBlock,4,4,4,5,637,6,0,0,637,GasA,Gd,Y,5,897,439,0,1336,0,0,1,1,3,1,4,7,6,0,6,5,1994,3,1,570,4,4,Y,0,47,120,0,0,0,4,5,5,0,9,2006,3,Normal,108000
559,60,4,57,21872,Pave,3,IR2,HLS,1,FR2,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,4,4,3,0,TA,TA,PConc,3,4,1,3,604,6,0,125,729,GasA,Ex,Y,5,729,717,0,1446,0,1,2,1,3,1,4,6,6,1,4,2,1996,3,2,406,4,4,Y,264,22,0,0,0,0,4,5,5,0,8,2008,1,Normal,175000
560,120,4,,3196,Pave,3,Reg,Lvl,1,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2003,2004,Gable,CompShg,1,1,2,18,Gd,TA,PConc,3,4,1,6,0,6,0,1374,1374,GasA,Ex,Y,5,1557,0,0,1557,0,0,2,0,2,1,3,7,6,1,4,2,2003,1,2,420,4,4,Y,143,20,0,0,0,0,4,5,5,0,10,2006,1,Normal,234000
561,20,4,,11341,Pave,3,IR1,Lvl,1,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1957,1996,Hip,CompShg,3,6,2,180,TA,TA,CBlock,3,4,4,1,1302,6,0,90,1392,GasA,TA,Y,5,1392,0,0,1392,1,0,1,1,3,1,4,5,5,1,3,6,1957,3,2,528,4,4,Y,0,0,0,0,95,0,4,5,5,0,5,2010,1,Normal,121500
562,20,4,77,10010,Pave,3,Reg,Lvl,1,Inside,Mod,Mitchel,Norm,Norm,1Fam,1Story,5,5,1974,1975,Gable,CompShg,4,4,3,0,TA,TA,CBlock,3,4,2,1,1071,4,123,195,1389,GasA,Gd,Y,5,1389,0,0,1389,1,0,1,0,2,1,4,6,6,1,4,2,1975,2,2,418,4,4,Y,240,38,0,0,0,0,4,5,5,0,4,2006,1,Normal,170000
563,30,4,63,13907,Pave,3,Reg,Lvl,1,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1940,1969,Gable,CompShg,6,3,3,0,TA,TA,CBlock,4,4,4,2,290,6,0,706,996,GasA,Ex,Y,5,996,0,0,996,1,0,1,0,3,1,4,6,6,1,3,7,,4,0,0,6,6,Y,144,0,0,0,0,0,4,5,5,0,7,2008,1,Normal,108000
564,50,4,66,21780,Pave,3,Reg,Lvl,1,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,6,7,1918,1950,Gable,CompShg,3,6,3,0,TA,TA,BrkTil,3,4,3,6,0,6,0,1163,1163,GasA,Ex,Y,5,1163,511,0,1674,0,0,2,0,4,1,4,8,6,1,3,6,1955,1,2,396,4,4,N,72,36,0,0,144,0,4,5,5,0,7,2008,1,Normal,185000
565,60,4,,13346,Pave,3,IR1,Lvl,1,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,5,1992,2000,Gable,CompShg,4,4,3,0,Gd,TA,PConc,3,4,4,3,728,6,0,367,1095,GasA,Ex,Y,5,1166,1129,0,2295,1,0,2,1,4,1,3,9,6,1,4,2,1992,2,2,590,4,4,Y,0,40,0,0,0,0,4,5,5,0,7,2006,1,Normal,268000
566,70,4,66,6858,Pave,3,Reg,Bnk,1,Corner,Gtl,SWISU,Norm,Norm,1Fam,2Story,6,4,1915,1950,Gable,CompShg,3,6,3,0,TA,TA,PConc,3,4,4,6,0,6,0,806,806,GasA,TA,N,2,841,806,0,1647,1,0,1,1,4,1,2,6,6,0,6,6,1920,3,1,216,4,4,Y,0,66,136,0,0,0,4,5,5,0,5,2010,1,Normal,128000
567,60,4,77,11198,Pave,3,IR1,Lvl,1,Inside,Gtl,StoneBr,Norm,Norm,1Fam,2Story,9,5,2005,2007,Hip,CompShg,1,1,2,245,Gd,TA,PConc,3,2,4,6,0,6,0,1122,1122,GasA,Ex,Y,5,1134,1370,0,2504,0,0,2,1,4,1,1,11,6,1,3,4,2005,1,3,656,4,4,Y,144,39,0,0,0,0,4,5,5,0,6,2008,1,Normal,325000
568,20,4,70,10171,Pave,3,IR1,Lvl,1,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,CompShg,1,1,2,168,Gd,TA,PConc,3,4,4,3,2,6,0,1515,1517,GasA,Ex,Y,5,1535,0,0,1535,0,0,2,0,3,1,3,7,6,0,6,2,2004,2,2,532,4,4,Y,0,0,0,0,0,0,4,5,5,0,3,2010,1,Normal,214000
569,50,4,79,12327,Pave,3,IR1,Low,1,Inside,Mod,SawyerW,Norm,Norm,1Fam,1.5Fin,8,8,1983,2009,Gable,CompShg,3,6,3,0,Gd,TA,CBlock,3,4,1,3,1441,6,0,55,1496,GasA,Ex,Y,5,1496,636,0,2132,1,0,1,1,1,1,3,5,4,1,3,4,1983,1,2,612,3,4,Y,349,40,0,0,0,0,4,5,5,0,9,2009,1,Normal,316600
570,90,4,,7032,Pave,3,IR1,Lvl,1,Corner,Gtl,mes,Norm,Norm,Duplex,SFoyer,5,5,1979,1979,Gable,CompShg,2,2,3,0,TA,TA,CBlock,3,4,1,3,943,6,0,0,943,GasA,TA,Y,5,943,0,0,943,1,0,1,0,2,1,4,4,6,2,4,6,1979,3,2,600,4,4,Y,42,0,0,0,0,0,4,5,5,0,12,2006,1,Normal,135960
571,90,4,74,13101,Pave,3,IR1,Lvl,1,Inside,Gtl,mes,Norm,Norm,Duplex,1Story,5,5,1965,1965,Gable,CompShg,4,4,2,108,TA,TA,CBlock,4,4,4,4,231,6,0,1497,1728,GasA,TA,Y,5,1728,0,0,1728,0,0,2,0,6,2,4,10,6,0,6,6,1987,3,2,576,4,4,Y,0,0,0,0,0,0,4,5,5,0,11,2008,1,Normal,142600
572,20,4,60,7332,Pave,3,Reg,Lvl,1,Inside,Gtl,mes,Norm,Norm,1Fam,1Story,6,6,1959,1959,Gable,CompShg,6,3,2,207,TA,TA,CBlock,4,4,4,2,414,6,0,450,864,GasA,Ex,Y,5,864,0,0,864,1,0,1,0,2,1,3,4,6,0,6,2,1959,3,1,288,4,4,Y,168,0,0,0,0,0,4,5,5,0,10,2006,1,Abnorml,120000
573,60,4,83,13159,Pave,3,IR1,HLS,1,Corner,Gtl,Timber,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,1,1,3,0,TA,TA,PConc,1,4,2,6,0,6,0,846,846,GasA,Gd,Y,5,846,846,0,1692,0,0,2,1,3,1,3,6,6,0,6,2,2009,2,2,650,4,4,Y,208,114,0,0,0,0,4,5,5,0,7,2009,2,Partial,224500
574,80,4,76,9967,Pave,3,IR1,Lvl,1,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2000,2000,Gable,CompShg,1,1,3,0,TA,TA,PConc,3,4,4,6,0,6,0,384,384,GasA,Ex,Y,5,774,656,0,1430,0,0,2,1,3,1,4,8,6,1,4,4,2000,2,2,400,4,4,Y,100,0,0,0,0,0,4,5,5,0,12,2007,1,Normal,170000
575,80,4,70,10500,Pave,3,Reg,Lvl,1,FR2,Gtl,mes,Norm,Norm,1Fam,SLvl,5,7,1971,2005,Gambrel,CompShg,2,13,2,82,TA,TA,CBlock,4,4,2,1,349,6,0,23,372,GasA,TA,Y,5,576,533,0,1109,0,1,1,0,3,1,4,5,6,0,6,4,1971,3,1,288,4,4,Y,35,0,0,0,0,0,4,2,5,0,12,2007,1,Normal,139000
576,50,4,80,8480,Pave,3,Reg,Lvl,1,Inside,Gtl,mes,Norm,Norm,1Fam,1.5Fin,5,5,1947,1950,Gable,CompShg,2,2,3,0,TA,TA,CBlock,4,4,4,5,442,6,0,390,832,GasA,TA,Y,5,832,384,0,1216,0,0,1,0,2,1,4,6,6,0,6,6,1947,3,1,336,4,4,Y,158,0,102,0,0,0,4,5,5,0,10,2008,3,Abnorml,118500
577,50,4,52,6292,Pave,3,Reg,Lvl,1,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,7,7,1928,1950,Gable,CompShg,3,6,3,0,TA,TA,BrkTil,4,4,4,6,0,6,0,861,861,GasA,Gd,Y,5,877,600,0,1477,0,1,2,0,3,1,4,6,6,1,3,6,1928,3,1,216,4,4,Y,0,50,0,0,0,0,4,5,5,0,8,2009,1,Normal,145000
578,80,4,96,11777,Pave,3,IR1,Lvl,1,Inside,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,5,6,1966,1966,Gable,CompShg,1,1,2,97,TA,TA,CBlock,4,4,2,4,328,1,551,285,1164,GasA,Ex,Y,5,1320,0,0,1320,1,0,1,0,3,1,4,6,6,2,2,2,1966,2,2,564,4,4,Y,160,68,240,0,0,0,4,5,5,0,5,2006,1,Abnorml,164500
579,160,2,34,3604,Pave,2,Reg,Lvl,1,Corner,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2007,2007,Gable,CompShg,1,1,3,0,Gd,TA,PConc,3,4,4,6,0,6,0,689,689,GasA,Ex,Y,5,703,689,0,1392,0,0,2,0,2,1,3,5,6,0,6,6,2007,3,2,540,4,4,Y,0,102,0,0,0,0,4,5,5,0,2,2008,1,Abnorml,146000
580,50,5,81,12150,Pave,1,Reg,Lvl,1,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,2,2,2,335,TA,TA,BrkTil,4,4,4,6,0,6,0,1050,1050,GasA,Ex,N,2,1050,745,0,1795,0,0,2,0,4,1,4,7,6,0,6,2,1954,3,1,352,2,4,Y,0,0,0,0,0,0,4,5,5,0,11,2008,1,Normal,131500
581,20,4,,14585,Pave,3,IR1,Lvl,1,CulDSac,Gtl,mes,Norm,Norm,1Fam,1Story,6,6,1960,1987,Gable,CompShg,3,6,2,85,TA,TA,CBlock,4,4,4,2,594,5,219,331,1144,GasA,Ex,Y,5,1429,0,0,1429,0,1,1,0,3,1,3,7,6,2,3,2,1960,3,2,572,4,4,Y,216,110,0,0,0,0,4,5,5,0,6,2007,1,Normal,181900
582,20,4,98,12704,Pave,3,Reg,Lvl,1,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2008,2009,Hip,CompShg,1,1,2,306,Ex,TA,PConc,1,4,4,6,0,6,0,2042,2042,GasA,Ex,Y,5,2042,0,0,2042,0,0,2,1,3,1,1,8,6,1,3,2,2009,2,3,1390,4,4,Y,0,90,0,0,0,0,4,5,5,0,8,2009,2,Partial,253293
583,90,4,81,11841,Grvl,3,Reg,Lvl,1,Inside,Gtl,Edwards,Norm,Norm,Duplex,SFoyer,6,5,1990,1990,Gable,CompShg,4,4,2,104,TA,Gd,CBlock,3,4,2,3,816,6,0,0,816,GasA,TA,Y,5,816,0,0,816,1,0,1,0,3,1,4,5,6,0,6,7,,4,0,0,6,6,Y,0,32,0,0,0,0,4,5,5,0,5,2007,1,Normal,118500
584,75,5,75,13500,Pave,3,Reg,Lvl,1,Inside,Gtl,OldTown,Artery,PosA,1Fam,2.5Unf,10,9,1893,2000,Gable,CompShg,3,6,3,0,Ex,Ex,BrkTil,4,4,4,6,0,6,0,1237,1237,GasA,Gd,Y,5,1521,1254,0,2775,0,0,3,1,3,1,3,9,6,1,3,6,1988,3,2,880,3,4,Y,105,502,0,0,0,0,4,5,5,0,7,2008,1,Normal,325000
585,50,5,51,6120,Pave,3,Reg,Lvl,1,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,4,7,1935,1995,Gable,CompShg,9,10,3,0,TA,TA,BrkTil,4,4,4,6,0,6,0,884,884,GasA,Ex,Y,5,989,584,0,1573,0,0,1,0,3,1,3,6,6,0,6,6,1935,3,1,240,4,4,Y,0,0,54,0,120,0,4,5,5,0,7,2009,1,Normal,133000
586,20,4,88,11443,Pave,3,Reg,Lvl,1,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,2005,2006,Hip,CompShg,1,1,2,208,Gd,TA,PConc,1,4,1,3,1460,6,0,408,1868,GasA,Ex,Y,5,2028,0,0,2028,1,0,2,0,2,1,3,7,6,2,3,2,2005,2,3,880,4,4,Y,326,66,0,0,0,0,4,5,5,0,3,2006,2,Partial,369900
587,30,4,55,10267,Pave,3,Reg,Lvl,1,Inside,Gtl,BrkSide,RRAn,Norm,1Fam,1Story,6,7,1918,2000,Gable,CompShg,10,3,3,0,TA,Gd,BrkTil,4,2,3,5,210,1,606,0,816,GasA,Ex,Y,5,838,0,0,838,1,0,1,0,2,1,2,5,6,0,6,6,1961,1,1,275,4,4,N,0,0,112,0,0,0,4,4,5,0,5,2008,1,Normal,130000
588,85,4,74,8740,Pave,3,IR1,Lvl,1,Inside,Gtl,Sawyer,Norm,Norm,1Fam,SFoyer,5,6,1982,1982,Hip,CompShg,4,4,3,0,TA,TA,CBlock,4,4,2,1,672,6,0,168,840,GasA,TA,Y,5,860,0,0,860,1,0,1,0,2,1,4,4,6,0,6,6,1996,3,2,528,4,4,Y,0,0,0,0,0,0,4,5,5,0,7,2009,1,Normal,137000
589,20,4,65,25095,Pave,3,IR1,Low,1,Inside,Sev,ClearCr,Norm,Norm,1Fam,1Story,5,8,1968,2003,Flat,Tar&Grv,3,6,3,0,TA,TA,CBlock,4,4,1,3,1324,6,0,113,1437,GasA,Ex,Y,5,1473,0,0,1473,2,0,1,0,1,1,1,5,6,2,3,2,1968,3,1,452,4,4,Y,0,48,0,0,60,0,4,5,5,0,6,2009,1,Partial,143000
590,40,5,50,9100,Pave,3,Reg,Lvl,1,Inside,Gtl,BrkSide,RRAn,Feedr,1Fam,1Story,5,6,1930,1960,Gable,CompShg,1,1,3,0,TA,TA,BrkTil,4,4,4,6,0,6,0,742,742,GasA,TA,Y,1,779,0,156,935,0,0,1,0,2,1,4,4,6,0,6,6,1988,3,1,308,4,4,P,0,0,0,0,0,0,4,5,1,600,8,2008,1,Normal,79500
591,60,4,64,8320,Pave,3,Reg,Lvl,1,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,1,1,3,0,Gd,TA,PConc,3,4,4,3,490,6,0,280,770,GasA,Ex,Y,5,770,812,0,1582,0,0,2,1,3,1,3,6,6,0,6,2,2004,2,2,520,4,4,Y,0,45,0,0,0,0,4,5,5,0,9,2008,1,Normal,185900
592,60,4,97,13478,Pave,3,IR1,Lvl,1,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,10,5,2008,2008,Gable,CompShg,7,,4,420,Ex,TA,PConc,1,4,1,3,1338,6,0,384,1722,GasA,Ex,Y,5,1728,568,0,2296,1,0,2,1,3,1,1,10,6,1,3,4,2008,2,3,842,4,4,Y,382,274,0,0,0,0,4,5,5,0,6,2009,5,Normal,451950
593,20,4,60,6600,Pave,3,Reg,Lvl,1,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,8,1982,2003,Gable,CompShg,4,4,3,0,TA,Gd,PConc,4,2,4,3,816,6,0,0,816,GasA,Ex,Y,5,816,0,0,816,1,0,1,0,2,1,4,4,6,0,6,6,1985,1,2,816,4,4,Y,0,0,0,0,0,0,4,5,5,0,6,2008,1,Normal,138000
594,120,5,,4435,Pave,3,Reg,Lvl,1,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2003,2003,Gable,CompShg,1,1,2,170,Gd,TA,PConc,3,4,2,3,685,6,0,163,848,GasA,Ex,Y,5,848,0,0,848,1,0,1,0,1,1,3,4,6,0,6,2,2003,1,2,420,4,4,Y,140,0,0,0,0,0,4,5,5,0,5,2009,1,Normal,140000
595,20,4,88,7990,Pave,3,IR1,Lvl,1,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1975,Hip,CompShg,4,4,3,0,TA,TA,CBlock,3,4,4,6,0,6,0,924,924,GasA,TA,Y,5,924,0,0,924,0,0,1,0,3,1,4,5,6,0,6,6,1981,3,1,280,4,4,Y,0,0,0,0,0,0,4,3,5,0,4,2008,1,Normal,110000
596,20,4,69,11302,Pave,3,IR1,Lvl,1,Inside,Gtl,StoneBr,Norm,Norm,1Fam,1Story,8,5,2005,2006,Gable,CompShg,1,15,2,238,Gd,TA,PConc,3,4,1,3,1422,6,0,392,1814,GasA,Ex,Y,5,1826,0,0,1826,1,0,2,0,3,1,3,7,6,1,4,2,2005,1,3,758,4,4,Y,180,75,0,0,120,0,4,5,5,0,8,2006,2,Partial,319000
597,70,5,60,3600,Pave,1,Reg,Lvl,1,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,6,7,1910,1993,Gable,CompShg,1,1,3,0,TA,TA,CBlock,4,4,4,6,0,6,0,684,684,GasA,Ex,N,1,684,684,0,1368,0,0,1,0,3,1,4,7,6,0,6,6,1930,3,1,216,4,2,N,0,158,0,0,0,0,4,5,5,0,10,2006,1,Normal,114504
598,120,4,53,3922,Pave,3,Reg,Lvl,1,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,2007,Gable,CompShg,1,1,2,72,Gd,TA,PConc,1,4,2,6,0,6,0,1258,1258,GasA,Ex,Y,5,1402,0,0,1402,0,2,0,2,2,1,3,7,6,1,3,2,2006,1,3,648,4,4,Y,120,16,0,0,0,0,4,5,5,0,2,2007,2,Partial,194201
599,20,4,80,12984,Pave,3,Reg,Bnk,1,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,5,6,1977,1977,Gable,CompShg,8,5,2,459,TA,TA,CBlock,3,4,3,1,1283,4,147,0,1430,GasA,Ex,Y,5,1647,0,0,1647,1,0,2,0,3,1,3,7,6,1,4,2,1977,1,2,621,4,4,Y,0,0,0,0,0,0,4,5,5,0,3,2006,1,Normal,217500
600,160,5,24,1950,Pave,3,Reg,Lvl,1,Inside,Gtl,Blueste,Norm,Norm,Twnhs,2Story,6,6,1980,1980,Gable,CompShg,2,2,3,0,TA,Gd,CBlock,3,4,4,4,81,3,612,23,716,GasA,TA,Y,5,716,840,0,1556,1,0,2,1,3,1,4,6,6,1,4,2,1980,1,2,452,4,4,Y,161,0,0,0,0,0,4,1,5,0,7,2008,3,Normal,151000
601,60,4,74,10927,Pave,3,Reg,Lvl,1,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2005,Gable,CompShg,1,1,2,280,Gd,TA,PConc,3,4,2,3,546,6,0,512,1058,GasA,Ex,Y,5,1058,846,0,1904,1,0,2,1,3,1,1,8,6,1,3,4,2003,1,2,736,4,4,Y,179,60,0,0,0,0,4,5,5,0,6,2006,1,Normal,275000
602,50,5,50,9000,Pave,3,Reg,Bnk,1,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,6,1937,1950,Gable,CompShg,3,6,3,0,TA,Gd,PConc,4,4,4,6,0,6,0,780,780,GasA,TA,Y,5,780,595,0,1375,0,0,1,1,3,1,3,6,6,1,3,6,1979,3,1,544,4,4,P,0,162,0,0,126,0,4,5,5,0,12,2007,1,Normal,141000
603,60,4,80,10041,Pave,3,IR1,Lvl,1,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,8,5,1992,1992,Gable,CompShg,4,4,3,0,Gd,TA,PConc,3,4,3,3,789,6,0,119,908,GasA,Ex,Y,5,927,988,0,1915,1,0,2,1,3,1,3,8,6,1,4,2,1992,1,2,506,4,4,Y,120,150,0,0,0,0,4,5,5,0,2,2006,1,Abnorml,220000
604,160,2,30,3182,Pave,2,Reg,Lvl,1,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004,2005,Gable,CompShg,2,2,3,0,Gd,TA,PConc,3,4,4,6,0,6,0,600,600,GasA,Ex,Y,5,600,600,0,1200,0,0,2,1,2,1,3,4,6,0,6,6,2004,2,2,480,4,4,Y,0,172,0,0,0,0,4,5,5,0,6,2010,1,Normal,151000
605,20,4,88,12803,Pave,3,IR1,Lvl,1,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2002,Gable,CompShg,1,1,2,99,Gd,TA,PConc,3,4,3,3,922,6,0,572,1494,GasA,Ex,Y,5,1494,0,0,1494,1,0,2,0,3,1,3,6,6,1,4,2,2002,2,2,530,4,4,Y,192,36,0,0,0,0,4,5,5,0,9,2008,1,Normal,221000
606,60,4,85,13600,Pave,3,Reg,Lvl,1,Inside,Gtl,mes,Norm,Norm,1Fam,2Story,7,6,1965,1990,Gable,CompShg,4,4,2,176,TA,TA,CBlock,4,4,4,2,454,6,0,314,768,GasA,TA,Y,5,1186,800,0,1986,0,0,2,1,3,1,4,7,6,3,2,2,1965,3,2,486,4,4,Y,0,42,0,0,189,0,4,5,5,0,10,2009,1,Normal,205000
607,20,4,82,12464,Pave,3,IR2,Low,1,Corner,Mod,CollgCr,Norm,Norm,1Fam,1Story,5,5,1996,1996,Gable,CompShg,1,1,3,0,TA,Gd,PConc,3,4,4,3,732,6,0,308,1040,GasA,Gd,Y,5,1040,0,0,1040,1,0,1,0,3,1,3,6,6,0,6,6,2000,3,2,576,4,4,Y,168,0,0,0,0,0,4,1,5,0,11,2009,1,Normal,152000
608,20,4,78,7800,Pave,3,Reg,Bnk,1,Inside,Mod,Edwards,Norm,Norm,1Fam,2Story,5,8,1948,2002,Gable,CompShg,2,2,3,0,TA,Gd,CBlock,4,2,4,3,603,6,0,293,896,GasA,Ex,Y,5,1112,896,0,2008,1,0,3,0,3,1,1,8,6,0,6,2,1948,3,1,230,4,4,Y,103,0,0,0,0,0,4,5,5,0,8,2006,1,Normal,225000
609,70,4,78,12168,Pave,3,Reg,HLS,1,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,6,1934,1998,Gable,CompShg,5,6,3,0,TA,TA,PConc,3,4,3,2,428,6,0,537,965,GasA,TA,Y,5,1940,1254,0,3194,0,0,2,1,4,1,4,10,6,2,3,3,1934,3,2,380,4,4,Y,0,0,0,0,0,0,4,5,5,0,9,2007,1,Alloca,359100
610,20,4,61,7943,Pave,3,Reg,Lvl,1,Inside,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,4,5,1961,1961,Gable,CompShg,1,1,1,192,TA,Fa,CBlock,4,4,3,5,903,6,0,126,1029,GasA,Gd,Y,5,1029,0,0,1029,1,0,1,0,3,1,4,5,6,0,6,2,1961,3,1,261,4,4,Y,64,0,39,0,0,0,4,5,5,0,4,2007,1,Normal,118500
611,60,4,,11050,Pave,3,Reg,Lvl,1,Inside,Gtl,CollgCr,PosN,Norm,1Fam,2Story,9,5,2000,2000,Hip,CompShg,1,1,2,204,Gd,TA,PConc,1,4,3,3,904,6,0,536,1440,GasA,Ex,Y,5,1476,677,0,2153,1,0,2,1,3,1,1,8,6,2,1,2,2000,1,3,736,4,4,Y,253,142,0,0,0,0,4,5,5,0,5,2009,1,Normal,313000
612,80,4,,10395,Pave,3,IR1,Lvl,1,FR2,Gtl,NWAmes,Norm,Norm,1Fam,SLvl,6,6,1978,1978,Gable,CompShg,4,4,2,233,TA,TA,CBlock,3,4,2,1,605,6,0,427,1032,GasA,TA,Y,5,1032,0,0,1032,0,1,2,0,3,1,4,6,6,1,4,2,1978,3,2,564,4,4,Y,0,0,0,0,0,0,4,3,1,500,7,2007,1,Normal,148000
613,60,4,,11885,Pave,3,Reg,Lvl,1,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,2001,2001,Gable,CompShg,1,1,2,108,Gd,TA,PConc,3,4,2,3,990,6,0,309,1299,GasA,Ex,Y,5,1299,573,0,1872,1,0,2,1,3,1,1,7,6,1,4,4,2001,2,2,531,4,4,Y,160,122,0,0,0,0,4,5,5,0,11,2009,1,Normal,261500
614,20,4,70,8402,Pave,3,Reg,Lvl,1,Inside,Gtl,Mitchel,Feedr,Norm,1Fam,1Story,5,5,2007,2007,Gable,CompShg,1,1,3,0,TA,TA,PConc,3,4,4,1,206,6,0,914,1120,GasA,Ex,Y,5,1120,0,0,1120,0,0,1,0,3,1,4,6,6,0,6,7,,4,0,0,6,6,Y,0,30,0,0,0,0,4,5,5,0,12,2007,2,Partial,147000
615,180,5,21,1491,Pave,3,Reg,Lvl,1,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,SFoyer,4,6,1972,1972,Gable,CompShg,7,,3,0,TA,TA,CBlock,3,4,2,4,150,3,480,0,630,GasA,Ex,Y,5,630,0,0,630,1,0,1,0,1,1,4,3,6,0,6,7,,4,0,0,6,6,Y,96,24,0,0,0,0,4,5,5,0,5,2010,1,Normal,75500
616,85,4,80,8800,Pave,3,Reg,Lvl,1,Inside,Gtl,mes,Feedr,Norm,1Fam,SFoyer,6,7,1963,1963,Gable,CompShg,2,2,2,156,TA,Gd,PConc,4,4,1,3,763,6,0,173,936,GasA,Ex,Y,5,1054,0,0,1054,1,0,1,0,3,1,3,6,6,0,6,2,1963,2,2,480,4,4,Y,120,0,0,0,0,0,4,3,5,0,5,2010,1,Abnorml,137500
